"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"3633",77189,"2",56,"3","1","1",1,"3","2"
"3634",77190,"1",4,"6","1","1",5,"2","14"
"3635",77191,"2",80,"3","2","2",1,"2","2"
"3636",77192,"1",57,"3","1","1",5,"1","7"
"3637",77193,"2",12,"3","1","1",5,"6","6"
"3638",77194,"1",60,"4","1","1",2,"4","3"
"3639",77195,"2",47,"2","2","2",4,"1","8"
"3640",77196,"1",41,"3","1","1",7,"1","9"
"3641",77197,"2",47,"4","1","1",4,"5","12"
"3642",77198,"2",70,"6","2","1",2,"1","3"
"3643",77199,"2",54,"3","1","1",2,"2","2"
"3644",77200,"2",68,"4","1","1",1,"5","5"
"3645",77201,"1",14,"1","1","1",7,"3","15"
"3646",77202,"1",11,"3","1","1",7,"1","1"
"3647",77203,"2",11,"1","1","1",5,"5","2"
"3648",77204,"2",7,"4","1","1",2,"5","3"
"3649",77205,"2",57,"6","2","2",2,"1","14"
"3650",77206,"2",20,"4","1","1",4,"1","14"
"3651",77207,"1",14,"1","1","1",7,"1","1"
"3652",77208,"1",18,"3","1","1",5,"1","8"
"3653",77209,"2",24,"6","1","1",3,"3","4"
"3654",77210,"1",13,"1","1","1",5,"1","99"
"3655",77211,"1",73,"6","2","1",1,"2","2"
"3656",77212,"1",80,"3","1","1",1,"2","4"
"3657",77213,"1",24,"3","1","1",1,"5","14"
"3658",77214,"1",12,"3","1","1",6,"1","6"
"3659",77215,"1",38,"1","2","1",6,"1","7"
"3660",77216,"1",1,"2","1","1",7,"1","3"
"3661",77217,"2",20,"3","1","1",1,"6","3"
"3662",77218,"2",5,"1","2","2",6,"1","14"
"3663",77219,"2",3,"4","1","1",2,"5","8"
"3664",77220,"2",25,"4","1","1",3,"5","2"
"3665",77221,"2",39,"3","1","1",2,"1","4"
"3666",77222,"1",7,"3","1","1",3,"2","5"
"3667",77223,"2",65,"2","2","1",3,"1","6"
"3668",77224,"2",22,"3","1","1",5,"2","15"
"3669",77225,"1",43,"3","1","1",2,"5","12"
"3670",77226,"2",15,"6","1","1",3,"1","7"
"3671",77227,"2",4,"3","1","1",6,"1","10"
"3672",77228,"1",27,"3","1","1",3,"1","10"
"3673",77229,"1",48,"4","1","1",5,"1","15"
"3674",77230,"1",59,"6","2","1",3,"1","15"
"3675",77231,"1",0,"3","1","1",3,"1","14"
"3676",77232,"1",73,"3","1","1",2,"1","7"
"3677",77233,"2",1,"7","1","1",5,"4","8"
"3678",77234,"2",24,"4","1","1",1,"5","6"
"3679",77235,"2",32,"6","2","2",2,"1","7"
"3680",77236,"2",44,"3","1","1",4,"1","9"
"3681",77237,"2",21,"4","1","1",1,"5","1"
