"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"1887",75443,"Male",74,"White","US","US",3,"Married","$15000 - $19999"
"1888",75444,"Female",49,"White","US","US",4,"Married","$100000 and Over"
"1889",75445,"Male",21,"White","US","US",5,"Married","$45000 - $54999"
"1890",75446,"Male",23,"Mexican_American","Others","Other",7,"Married","$45000 - $54999"
"1891",75447,"Female",33,"White","US","US",3,"Married","$100000 and Over"
"1892",75448,"Male",5,"Mexican_American","US","US",5,"Married","Unknown"
"1893",75449,"Female",71,"Other_Hispanic","US","US",1,"Widowed","$45000 - $54999"
"1894",75450,"Female",21,"Black","US","US",5,"partner","$25000 - $34999"
"1895",75451,"Male",56,"Black","US","US",1,"Separated","$75000 - $99999"
"1896",75452,"Male",11,"Black","US","US",5,"Married","$100000 and Over"
"1897",75453,"Female",11,"Asian","Others","Other",3,"Married","$100000 and Over"
"1898",75454,"Male",17,"Other_Hispanic","US","US",6,"Married","$25000 - $34999"
"1899",75455,"Female",10,"Mexican_American","US","US",7,"Married","$20000 and Over"
"1900",75456,"Male",80,"White","US","US",1,"Widowed","$45000 - $54999"
"1901",75457,"Male",27,"White","US","US",7,"Married","$100000 and Over"
"1902",75458,"Male",61,"White","US","US",6,"Married","$75000 - $99999"
"1903",75459,"Female",3,"Mexican_American","US","US",2,"Never_married","$10000 - $14999"
"1904",75460,"Male",5,"Black","US","US",7,"Widowed","$45000 - $54999"
"1905",75461,"Male",63,"Black","US","US",1,"Divorced","$10000 - $14999"
"1906",75462,"Female",51,"Mexican_American","Others","Other",3,"Divorced","$20000 - $24999"
"1907",75463,"Male",14,"Mexican_American","US","US",4,"Married","$75000 - $99999"
"1908",75464,"Female",8,"Other_Hispanic","US","US",3,"Never_married","$25000 - $34999"
"1909",75465,"Female",55,"Mexican_American","Others","Other",3,"Never_married","$45000 - $54999"
"1910",75466,"Male",12,"Mexican_American","US","US",6,"Married","$15000 - $19999"
"1911",75467,"Female",39,"White","US","US",2,"Divorced","$65000 - $74999"
"1912",75468,"Male",54,"White","US","US",2,"Married","$100000 and Over"
"1913",75469,"Female",39,"White","US","US",1,"Never_married","$0 - $4999"
"1914",75470,"Male",14,"Black","US","US",5,"Married","$75000 - $99999"
"1915",75471,"Female",1,"Asian","US","US",5,"Divorced","$55000 - $64999"
"1916",75472,"Female",61,"White","US","US",2,"Married","$65000 - $74999"
"1917",75473,"Female",69,"Black","Others","US",2,"Married","$25000 - $34999"
"1918",75474,"Male",3,"Mexican_American","US","US",6,"Married","$35000 - $44999"
"1919",75475,"Female",13,"Black","US","US",6,"Separated","$20000 - $24999"
"1920",75476,"Female",25,"White","US","US",3,"Married","$55000 - $64999"
"1921",75477,"Male",8,"Mexican_American","US","US",4,"Married","$15000 - $19999"
"1922",75478,"Male",5,"Asian","US","US",7,"Married","$100000 and Over"
"1923",75479,"Male",66,"Black","US","US",3,"Widowed","$65000 - $74999"
"1924",75480,"Male",14,"Mexican_American","US","US",5,"Married","$15000 - $19999"
"1925",75481,"Female",14,"Black","US","US",6,"Married","$75000 - $99999"
"1926",75482,"Female",52,"Mexican_American","Others","Other",3,"Married","$15000 - $19999"
"1927",75483,"Male",57,"Black","US","US",2,"Married","$0 - $4999"
"1928",75484,"Male",0,"Black","US","US",1,"Never_married","$0 - $4999"
"1929",75485,"Male",2,"Black","US","US",3,"partner","$20000 - $24999"
"1930",75486,"Male",37,"Mexican_American","US","US",5,"Married","$65000 - $74999"
"1931",75487,"Male",51,"Mexican_American","Others","US",4,"Married","Refused"
"1932",75488,"Male",2,"Mexican_American","US","US",6,"Married","$25000 - $34999"
"1933",75489,"Male",0,"Black","US","US",7,"Widowed","Refused"
"1934",75490,"Male",28,"White","US","US",3,"Divorced","$15000 - $19999"
"1935",75491,"Male",57,"Asian","US","US",3,"Married","$20000 and Over"
"1936",75492,"Male",27,"Mexican_American","US","US",3,"Married","$65000 - $74999"
"1937",75493,"Male",4,"Mexican_American","US","US",7,"Married","$25000 - $34999"
"1938",75494,"Male",10,"Black","US","US",6,"Married","$45000 - $54999"
"1939",75495,"Male",66,"Black","US","US",1,"Divorced","$10000 - $14999"
"1940",75496,"Male",72,"Black","Others","US",2,"Divorced","$15000 - $19999"
"1941",75497,"Female",0,"Other_Hispanic","US","US",4,"Married","$25000 - $34999"
"1942",75498,"Female",69,"White","US","US",5,"Divorced","$20000 and Over"
"1943",75499,"Male",60,"White","US","US",2,"Married","$75000 - $99999"
"1944",75500,"Female",75,"White","US","US",1,"Widowed","$35000 - $44999"
"1945",75501,"Male",3,"White","US","US",4,"Never_married","$0 - $4999"
"1946",75502,"Male",17,"Asian","US","US",4,"Married","$55000 - $64999"
"1947",75503,"Male",9,"White","US","US",4,"Married","$100000 and Over"
"1948",75504,"Female",33,"White","US","US",5,"Married","$25000 - $34999"
"1949",75505,"Male",67,"White","US","US",2,"Married","$100000 and Over"
"1950",75506,"Female",25,"Mexican_American","Others","Other",3,"Married","$10000 - $14999"
"1951",75507,"Female",21,"Mexican_American","Others","Other",6,"Married","$20000 and Over"
"1952",75508,"Male",14,"White","US","US",6,"partner","$35000 - $44999"
"1953",75509,"Male",9,"Mexican_American","Others","Other",6,"Married","$15000 - $19999"
"1954",75510,"Female",8,"White","US","US",5,"Married","$35000 - $44999"
"1955",75511,"Female",49,"White","US","US",1,"Never_married","$75000 - $99999"
"1956",75512,"Female",17,"Black","US","US",5,"Married","$35000 - $44999"
"1957",75513,"Female",15,"Black","US","US",7,"partner","$35000 - $44999"
"1958",75514,"Male",4,"Black","US","US",4,"Married","$65000 - $74999"
"1959",75515,"Male",21,"Mexican_American","US","US",5,"Married","$100000 and Over"
"1960",75516,"Male",15,"White","US","US",5,"Married","$35000 - $44999"
"1961",75517,"Female",20,"Mexican_American","US","US",3,"Married","$15000 - $19999"
"1962",75518,"Female",17,"Black","US","US",3,"Divorced","$0 - $4999"
"1963",75519,"Female",44,"Black","Others","US",2,"Married","$100000 and Over"
"1964",75520,"Male",13,"White","US","US",5,"Married","$75000 - $99999"
"1965",75521,"Female",49,"Mexican_American","Others","Other",5,"Married","$20000 - $24999"
"1966",75522,"Male",57,"White","US","US",1,"Divorced","$45000 - $54999"
"1967",75523,"Male",58,"White","US","US",2,"Married","$5000 - $9999"
"1968",75524,"Male",48,"Asian","Others","US",4,"Married","$100000 and Over"
"1969",75525,"Male",11,"White","US","US",4,"Married","$55000 - $64999"
"1970",75526,"Male",20,"Asian","US","US",4,"Married","$75000 - $99999"
"1971",75527,"Female",58,"White","US","US",1,"Never_married","$5000 - $9999"
"1972",75528,"Female",39,"White","US","US",5,"Married","$55000 - $64999"
"1973",75529,"Male",48,"White","US","US",5,"Married","$100000 and Over"
"1974",75530,"Female",1,"White","US","US",5,"partner","$5000 - $9999"
"1975",75531,"Female",37,"White","US","US",4,"Married","$100000 and Over"
"1976",75532,"Male",36,"Mexican_American","Others","Other",4,"Married","$25000 - $34999"
"1977",75533,"Male",21,"Asian","Others","Other",3,"Married","$55000 - $64999"
"1978",75534,"Female",20,"Black","US","US",5,"Married","$25000 - $34999"
"1979",75535,"Male",13,"Mexican_American","US","US",6,"partner","$10000 - $14999"
"1980",75536,"Female",21,"Mexican_American","Others","Other",7,"Married","$35000 - $44999"
"1981",75537,"Female",42,"Other_Hispanic","Others","US",5,"Married","$75000 - $99999"
"1982",75538,"Female",36,"Mexican_American","Others","Other",3,"Married","$35000 - $44999"
"1983",75539,"Female",19,"Black","US","US",2,"Widowed","$0 - $4999"
"1984",75540,"Female",50,"White","US","US",1,"Divorced","$55000 - $64999"
"1985",75541,"Female",6,"multiracial","US","US",6,"Married","$100000 and Over"
"1986",75542,"Female",74,"White","US","US",3,"Widowed","Under $20000"
"1987",75543,"Female",66,"White","US","US",7,"Married","$35000 - $44999"
"1988",75544,"Male",26,"Mexican_American","US","US",4,"Married","$75000 - $99999"
"1989",75545,"Male",0,"multiracial","US","US",5,"Married","$20000 - $24999"
"1990",75546,"Female",37,"Black","US","US",6,"partner","$55000 - $64999"
"1991",75547,"Female",62,"Other_Hispanic","Others","Other",3,"Married","Under $20000"
"1992",75548,"Male",14,"multiracial","US","US",5,"Married","$15000 - $19999"
"1993",75549,"Female",38,"White","US","US",4,"Married","$15000 - $19999"
"1994",75550,"Female",21,"Asian","Others","Other",3,"Married","$10000 - $14999"
"1995",75551,"Female",29,"Black","US","US",7,"Widowed","$45000 - $54999"
"1996",75552,"Female",80,"Mexican_American","US","US",2,"Widowed","$15000 - $19999"
"1997",75553,"Female",80,"White","US","US",1,"Widowed","$15000 - $19999"
"1998",75554,"Female",13,"Black","US","US",3,"Divorced","$15000 - $19999"
"1999",75555,"Female",58,"Black","US","US",2,"Widowed","$10000 - $14999"
"2000",75556,"Male",22,"Mexican_American","US","US",3,"Widowed","$25000 - $34999"
"2001",75557,"Female",50,"White","US","US",2,"Married","$25000 - $34999"
"2002",75558,"Male",37,"White","US","US",4,"Married","$75000 - $99999"
"2003",75559,"Male",5,"Mexican_American","US","US",6,"Married","$25000 - $34999"
"2004",75560,"Male",9,"Mexican_American","US","US",6,"Married","$75000 - $99999"
"2005",75561,"Male",8,"Mexican_American","US","US",6,"Never_married","$15000 - $19999"
"2006",75562,"Male",66,"Black","US","US",2,"Married","$45000 - $54999"
"2007",75563,"Female",51,"Asian","Others","Other",2,"Married","$65000 - $74999"
"2008",75564,"Male",6,"Mexican_American","US","US",3,"Married","$65000 - $74999"
"2009",75565,"Male",9,"White","US","US",7,"Married","$35000 - $44999"
"2010",75566,"Male",28,"Mexican_American","US","US",4,"Married","$75000 - $99999"
"2011",75567,"Female",29,"Black","US","US",5,"Married","$75000 - $99999"
"2012",75568,"Female",45,"White","US","US",1,"Divorced","$10000 - $14999"
"2013",75569,"Female",5,"Mexican_American","US","US",6,"Married","$100000 and Over"
"2014",75570,"Male",14,"Other_Hispanic","US","US",3,"Divorced","$15000 - $19999"
"2015",75571,"Male",57,"Asian","Others","US",3,"Married","$100000 and Over"
"2016",75572,"Female",68,"Mexican_American","US","US",6,"Widowed","$5000 - $9999"
"2017",75573,"Female",67,"Mexican_American","Others","US",2,"Separated","$10000 - $14999"
"2018",75574,"Female",7,"Black","US","US",7,"partner","$100000 and Over"
"2019",75575,"Male",8,"Other_Hispanic","US","US",6,"Married","$25000 - $34999"
"2020",75576,"Male",47,"Black","US","US",1,"Never_married","$55000 - $64999"
"2021",75577,"Female",1,"White","US","US",5,"Divorced","$20000 - $24999"
"2022",75578,"Male",16,"Other_Hispanic","Others","Other",4,"Married","$10000 - $14999"
"2023",75579,"Male",60,"Mexican_American","Others","US",2,"Married","$35000 - $44999"
"2024",75580,"Female",12,"multiracial","US","US",4,"Married","$35000 - $44999"
